context, response
i want help to get my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
can you help me to download my invoice #37777?,"intent: get_invoice, variable name: invoice number, variable value: #37777"
i have lost the invoice #00108 could umail it to me,"intent: get_invoice, variable name: invoice number, variable value: #00108"
i need help getting my invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
what do Ihave to do to download my invoice #85632?,"intent: get_invoice, variable name: invoice number, variable value: #85632"
get bill fromMr. Jones,"intent: get_invoice, variable name: unspecified, variable value: unspecified"
can I get the bills from John?,"intent: get_invoice, variable name: person name, variable value: John"
mail me my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
will ya mail me my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
I call to download bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
is it possible to download the invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
i have to get the bill #85632 will huelp me,"intent: get_invoice, variable name: invoice number, variable value: #85632"
i call to downbload my invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
getting invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
send me bill from John,"intent: get_invoice, variable name: person name, variable value: John"
help getting my invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I have to download my bills from John,"intent: get_invoice, variable name: person name, variable value: John"
get inviice from John,"intent: get_invoice, variable name: person name, variable value: John"
help me to download the bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I do't know how to download my bills from John,"intent: get_invoice, variable name: person name, variable value: John"
I do not know how I could download bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
"I have got to get the ibll #37777, how could I do it?","intent: get_invoice, variable name: invoice number, variable value: #37777"
assistance getting my bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
download bill from John,"intent: get_invoice, variable name: person name, variable value: John"
I do not know what to do to download the bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
what do i need to do to get my bills from John,"intent: get_invoice, variable name: person name, variable value: John"
what do i have to do to download the invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
wanna get the bil from John will uhelp me,"intent: get_invoice, variable name: person name, variable value: John"
I want help downloading the invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
need help downloading my bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I do not know what I need to d to download the bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
where to download the invoices from John?,"intent: get_invoice, variable name: person name, variable value: John"
getting invoice from January,"intent: get_invoice, variable name: unspecified, variable value: unspecified"
i need assistance to get the invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
I want assistance getting the bill from John,"intent: get_invoice, variable name: person name, variable value: John"
